era,book_id,chap_num,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
classical/romantic gothic,6087,1,0.00010570824699767406,0.11235387977715314,0.00010570824781373442,0.00010570824689754142,0.00010570824791731614,0.33842870032639655,0.17691058566360768,0.0001057082475723479,0.00010570824524320565,0.00010570824810507495,0.00010570824816432783,0.00010570824782289435,0.00010570824734142355,0.00010570824808959741,0.00010570824524320565,0.15811345209462008,0.1406029409344002,0.07211052574162925,0.00010570824737243854,0.00010570824761239378
classical/romantic gothic,6087,2,0.025000000157705163,0.025000000197764466,0.025000000000000064,0.025000000000000064,0.025000000323880542,0.025000000000000064,0.025000000000000064,0.025000000000000064,0.025000000000000064,0.025000000000000064,0.025000000000000064,0.025000000151226845,0.025000000000000064,0.025000000000000064,0.025000000000000064,0.5249999980591391,0.025000000000000064,0.025000000523583026,0.02500000006893387,0.025000000517766206
classical/romantic gothic,6087,3,0.12752372070097728,0.09967876770443583,0.00018115942306972435,0.000181159421831617,0.05341982469453639,0.08261368398676133,0.00018115942547589303,0.00018115942381504628,0.00018115942029001586,0.0001811594223880107,0.00018115942468139787,0.00018115942410015985,0.04554519390950144,0.000181159423053985,0.00018115942029001586,0.12476101114886146,0.26078068945621335,0.20350319532127525,0.00018115942400997198,0.00018115942443172833
classical/romantic gothic,6087,4,2.076412006184612e-05,0.09514655476432737,2.0764120124478513e-05,2.0764119914425062e-05,2.0764120074565135e-05,0.07815532655819517,0.3722138319441236,2.0764120094479974e-05,2.076411960134663e-05,2.0764120081780717e-05,2.076412011518875e-05,0.03593829444966254,2.076412002838503e-05,0.012278597455333457,2.076411960134663e-05,2.0764120125405225e-05,0.08768999660624319,0.31830746466226567,2.0764120054988106e-05,2.076411997058756e-05
classical/romantic gothic,41445,1,5.800464158773313e-05,0.30293173236467014,0.10725815095311829,5.800464117370984e-05,5.80046415449162e-05,0.11871098634760426,5.800464185080357e-05,5.800464128817418e-05,5.800464037127793e-05,5.8004641163146815e-05,5.800464193274273e-05,5.800464173857919e-05,5.800464180934221e-05,5.8004641443351745e-05,5.800464037127793e-05,5.800464185632656e-05,0.33918063917520624,0.1310484215382221,5.8004641795959235e-05,5.800464125158238e-05
classical/romantic gothic,41445,2,7.739938264495864e-05,0.5292019394662361,0.1194207175883605,7.73993813386413e-05,7.73993824027419e-05,7.739938296419091e-05,7.739938240228855e-05,7.739938215171649e-05,7.739938080500845e-05,7.739938298549275e-05,7.739938279030176e-05,7.739938225725178e-05,7.739938280787036e-05,7.739938244569109e-05,7.739938080500845e-05,7.739938336064491e-05,0.3500615534452874,7.739938244001494e-05,7.739938261495133e-05,7.739938289914508e-05
classical/romantic gothic,41445,3,0.008014878622313636,0.15329689900049803,0.0875590675163313,6.6934405086461e-05,6.693440594176285e-05,6.693440608415347e-05,0.08920196028651321,6.693440562226996e-05,6.693440428386936e-05,6.693440527197006e-05,0.08486147504902931,0.04612815817164793,0.02923429933390449,6.693440562711116e-05,6.693440428386936e-05,6.693440578885379e-05,0.3183662051593988,0.18260077840107,6.693440543739867e-05,6.69344058654572e-05
classical/romantic gothic,41445,4,6.738544594532695e-05,6.738544573710346e-05,6.738544597882312e-05,6.73854454198433e-05,6.738544597203672e-05,6.738544570338592e-05,0.9987196765323579,6.738544579164467e-05,6.738544474395544e-05,6.738544545884922e-05,6.738544596496864e-05,6.738544569359925e-05,6.738544574814393e-05,6.738544588907015e-05,6.738544474395544e-05,6.738544572223768e-05,6.738544610748001e-05,6.738544583743708e-05,6.738544544910929e-05,6.738544573504622e-05
classical/romantic gothic,41445,5,6.34517776891555e-05,0.3803885767575685,0.07325657247837558,6.345177722106576e-05,6.345177818527853e-05,6.345177814616225e-05,0.07365861266613136,0.009870948730894993,6.34517766497971e-05,6.345177780905806e-05,0.026351311746433164,6.345177784816351e-05,0.06468521437420545,6.345177819847722e-05,6.34517766497971e-05,6.345177808760063e-05,0.37096389013415,6.34517779935714e-05,6.345177775580404e-05,6.345178000714503e-05
classical/romantic gothic,41445,6,4.145937071798992e-05,0.1707932188469814,4.145937104850404e-05,4.1459370475589724e-05,4.145937090141946e-05,0.059468089333954574,4.145937080688745e-05,4.1459370710459634e-05,4.1459369817611915e-05,4.145937043261103e-05,0.05403035276826397,4.145937076578217e-05,4.145937088300247e-05,0.03378858737650527,4.1459369817611915e-05,4.14593707707285e-05,0.47464957313592715,0.20668974735005416,4.145937050631556e-05,4.145937065891549e-05
classical/romantic gothic,41445,7,5.3533191952019374e-05,0.24747919318050315,5.3533191891259085e-05,5.353319299398901e-05,5.3533191941418784e-05,5.3533192054611286e-05,5.3533191673077574e-05,5.353319169782944e-05,5.353319057819557e-05,5.353319145132252e-05,5.353319182800534e-05,5.3533191558668684e-05,5.353319195841277e-05,5.353319182288786e-05,5.353319057819557e-05,0.04589368766725868,0.46815798499989175,0.23761260308518242,5.353319147725099e-05,5.353319170689697e-05
classical/romantic gothic,41445,8,8.000000183349669e-05,0.1644273062595711,0.013956223728919324,8.000000132767852e-05,0.02397469157280878,8.000000204862243e-05,8.000000181497122e-05,8.000000180410794e-05,8.000000000006689e-05,8.000000126939603e-05,0.056792027529090905,0.07399229930374988,8.000000204412226e-05,8.000000214845111e-05,8.000000000006689e-05,8.000000145433617e-05,0.5228796725929448,0.14293777899389193,8.000000168514301e-05,8.000000159294035e-05
classical/romantic gothic,41445,9,7.163323913861525e-05,7.163323888140441e-05,7.163323942189017e-05,7.16332385799235e-05,7.163323945332831e-05,7.163323942845136e-05,7.163323938300445e-05,7.163323928750482e-05,7.163323782238568e-05,7.163323884778688e-05,7.163323977527358e-05,7.163323937217269e-05,7.163323904252964e-05,7.163323932973243e-05,7.163323782238568e-05,7.163323976296809e-05,0.9986389684575888,7.163323940801506e-05,7.163323875813721e-05,7.163323889554336e-05
