term_str,n,n_chars,p,i,max_pos,max_pos_group,stop,stem_porter,df,idf,dfidf,tfidf_mean,ngram_length
000,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,000,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1,31,1,4.816117525696317e-05,14.341769876427556,NN,NN,0,1,18,2.795859283219775,50.32546709795595,0.5592082721666335,3
10,7,2,1.0875104090282007e-05,16.488611264756827,NN,NN,0,10,6,4.380821783940931,26.284930703645585,0.2307803773567471,3
100,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,100,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1018,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1018,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1030,2,4,3.1071725972234305e-06,18.295966186814432,CD,CD,0,1030,1,6.965784284662087,6.965784284662087,0.0883240550344172,3
10th,1,4,1.5535862986117152e-06,19.295966186814432,NN,NN,0,10th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
11,8,2,1.2428690388893722e-05,16.295966186814432,NN,NN,0,11,6,4.380821783940931,26.284930703645585,0.25128130908432955,3
1140,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1140,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
11th,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,11th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
12,7,2,1.0875104090282007e-05,16.488611264756827,NN,NN,0,12,6,4.380821783940931,26.284930703645585,0.2307803773567471,3
121,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,121,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1230,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1230,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1245,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1245,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
12th,4,4,6.214345194446861e-06,17.295966186814432,CD,CD,0,12th,4,4.965784284662087,19.863137138648348,0.1589050971091868,3
13,5,2,7.767931493058577e-06,16.974038091927067,NN,NN,0,13,5,4.643856189774724,23.21928094887362,0.18575424759098896,3
13fire,1,6,1.5535862986117152e-06,19.295966186814432,NN,NN,0,13fire,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
14,4,2,6.214345194446861e-06,17.295966186814432,CD,CD,0,14,4,4.965784284662087,19.863137138648348,0.1589050971091868,3
14th,1,4,1.5535862986117152e-06,19.295966186814432,NNS,NN,0,14th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
15,4,2,6.214345194446861e-06,17.295966186814432,NN,NN,0,15,4,4.965784284662087,19.863137138648348,0.1589050971091868,3
150,2,3,3.1071725972234305e-06,18.295966186814432,CD,CD,0,150,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
1584,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1584,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
15th,1,4,1.5535862986117152e-06,19.295966186814432,NNS,NN,0,15th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
16,5,2,7.767931493058577e-06,16.974038091927067,CD,CD,0,16,5,4.643856189774724,23.21928094887362,0.18575424759098896,3
1646,4,4,6.214345194446861e-06,17.295966186814432,CD,CD,0,1646,2,5.965784284662087,11.931568569324174,0.1512887100572959,3
1676,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1676,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1677,2,4,3.1071725972234305e-06,18.295966186814432,CD,CD,0,1677,1,6.965784284662087,6.965784284662087,0.0883240550344172,3
17,15,2,2.330379447917573e-05,15.389075591205913,NN,NN,0,17,11,3.5063526660247897,38.569879326272684,0.36204888200001767,3
1732,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1732,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1750,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1750,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1777,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1777,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
17s,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,17,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
17th,2,4,3.1071725972234305e-06,18.295966186814432,NNS,NN,0,17th,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
18,12,2,1.8643035583340583e-05,15.711003686093274,CD,CD,0,18,9,3.795859283219775,34.162733548977975,0.32659231652057236,3
1816,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1816,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1818,2,4,3.1071725972234305e-06,18.295966186814432,CD,CD,0,1818,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
1825,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1825,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1832,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1832,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1846,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1846,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1847,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1847,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1848,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1848,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1854,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1854,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1861,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1861,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1867,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1867,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1870,3,4,4.660758895835146e-06,17.711003686093274,CD,CD,0,1870,2,5.965784284662087,11.931568569324174,0.12337062930594464,3
1873,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1873,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1879,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1879,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1881,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1881,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
1885,2,4,3.1071725972234305e-06,18.295966186814432,CD,CD,0,1885,1,6.965784284662087,6.965784284662087,0.0883240550344172,3
18th,2,4,3.1071725972234305e-06,18.295966186814432,CD,CD,0,18th,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
19,6,2,9.321517791670291e-06,16.711003686093274,NN,NN,0,19,4,4.965784284662087,19.863137138648348,0.20538185860035083,3
1909,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1909,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
197,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,197,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
19th,2,4,3.1071725972234305e-06,18.295966186814432,CD,CD,0,19th,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
1st,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,1st,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
2,33,1,5.12683478541866e-05,14.251572067455978,CD,CD,0,2,22,2.5063526660247897,55.139758652545375,0.566729697819465,3
20,5,2,7.767931493058577e-06,16.974038091927067,NN,NN,0,20,3,5.380821783940931,16.142465351822793,0.1795009862812857,3
21,1,2,1.5535862986117152e-06,19.295966186814432,NN,NN,0,21,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
21st,2,4,3.1071725972234305e-06,18.295966186814432,CD,CD,0,21st,1,6.965784284662087,6.965784284662087,0.0883240550344172,3
22,3,2,4.660758895835146e-06,17.711003686093274,NN,NN,0,22,2,5.965784284662087,11.931568569324174,0.12337062930594464,3
22000000,1,8,1.5535862986117152e-06,19.295966186814432,CD,CD,0,22000000,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
22222,1,5,1.5535862986117152e-06,19.295966186814432,CD,CD,0,22222,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
22829,1,5,1.5535862986117152e-06,19.295966186814432,CD,CD,0,22829,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
23,2,2,3.1071725972234305e-06,18.295966186814432,NN,NN,0,23,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
233424,1,6,1.5535862986117152e-06,19.295966186814432,CD,CD,0,233424,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
235,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,235,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
24,10,2,1.5535862986117154e-05,15.974038091927069,NN,NN,0,24,7,4.158429362604483,29.109005538231383,0.2912526500423647,3
240000,1,6,1.5535862986117152e-06,19.295966186814432,CD,CD,0,240000,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
24th,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,24th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
25,13,2,2.0196621881952297e-05,15.59552646867334,NN,NN,0,25,7,4.158429362604483,29.109005538231383,0.335229806882616,3
2531,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,2531,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
26,5,2,7.767931493058577e-06,16.974038091927067,NN,NN,0,26,4,4.965784284662087,19.863137138648348,0.18214347785476878,3
26th,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,26th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
27,4,2,6.214345194446861e-06,17.295966186814432,NN,NN,0,27,3,5.380821783940931,16.142465351822793,0.15432035454793402,3
27th,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,27th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
28,6,2,9.321517791670291e-06,16.711003686093274,NN,NN,0,28,5,4.643856189774724,23.21928094887362,0.20748610142906931,3
29,11,2,1.708944928472887e-05,15.836534568177134,NN,NN,0,29,7,4.158429362604483,29.109005538231383,0.2963094030582736,3
2d,1,2,1.5535862986117152e-06,19.295966186814432,CD,CD,0,2d,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
3,27,1,4.1946830062516315e-05,14.541078684650962,CD,CD,0,3,22,2.5063526660247897,55.139758652545375,0.4997629621486428,3
30,15,2,2.330379447917573e-05,15.389075591205913,NN,NN,0,30,8,3.965784284662087,31.726274277296696,0.3543801042525924,3
31,4,2,6.214345194446861e-06,17.295966186814432,NN,NN,0,31,3,5.380821783940931,16.142465351822793,0.15432035454793402,3
33,1,2,1.5535862986117152e-06,19.295966186814432,CD,CD,0,33,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
334,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,334,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
347,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,347,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
39,3,2,4.660758895835146e-06,17.711003686093274,CD,CD,0,39,1,6.965784284662087,6.965784284662087,0.1114525485545934,3
4,24,1,3.7286071166681165e-05,14.711003686093274,CD,CD,0,4,19,2.7178567712185013,51.63927865315153,0.47670800096496824,3
430,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,430,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
47th,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,47th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
5,23,1,3.573248486806945e-05,14.772404230757418,CD,CD,0,5,14,3.158429362604483,44.21801107646276,0.46059548958124463,3
50,1,2,1.5535862986117152e-06,19.295966186814432,CD,CD,0,50,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
538,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,538,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
59,1,2,1.5535862986117152e-06,19.295966186814432,CD,CD,0,59,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
5th,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,5th,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
6,10,1,1.5535862986117154e-05,15.974038091927069,NN,NN,0,6,10,3.643856189774725,36.43856189774725,0.2915084951819779,3
625,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,625,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
630,2,3,3.1071725972234305e-06,18.295966186814432,CD,CD,0,630,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
646,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,646,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
6575,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,6575,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
7,8,1,1.2428690388893722e-05,16.295966186814432,CD,CD,0,7,8,3.965784284662087,31.726274277296696,0.25381019421837353,3
70,2,2,3.1071725972234305e-06,18.295966186814432,CD,CD,0,70,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
730,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,730,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
7593,1,4,1.5535862986117152e-06,19.295966186814432,CD,CD,0,7593,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
7th,2,3,3.1071725972234305e-06,18.295966186814432,CD,CD,0,7th,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
8,7,1,1.0875104090282007e-05,16.488611264756827,NN,NN,0,8,6,4.380821783940931,26.284930703645585,0.2307803773567471,3
835,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,835,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
8th,2,3,3.1071725972234305e-06,18.295966186814432,CD,CD,0,8th,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
9,6,1,9.321517791670291e-06,16.711003686093274,NN,NN,0,9,5,4.643856189774724,23.21928094887362,0.20748610142906931,3
930,1,3,1.5535862986117152e-06,19.295966186814432,CD,CD,0,930,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
98,2,2,3.1071725972234305e-06,18.295966186814432,CD,CD,0,98,2,5.965784284662087,11.931568569324174,0.0954525485545934,3
9d,1,2,1.5535862986117152e-06,19.295966186814432,CD,CD,0,9d,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
a,11783,1,0.01830590735654184,5.771546905269629,DT,DT,1,a,125,0.0,0.0,0.0,3
aahprofitable,1,13,1.5535862986117152e-06,19.295966186814432,JJ,JJ,0,aahprofit,1,6.965784284662087,6.965784284662087,0.0557262742772967,3
aback,3,5,4.660758895835146e-06,17.711003686093274,NN,NN,0,aback,3,5.380821783940931,16.142465351822793,0.12913972281458233,3
abaft,2,5,3.1071725972234305e-06,18.295966186814432,NN,NN,0,abaft,1,6.965784284662087,6.965784284662087,0.0883240550344172,3
abandon,7,7,1.0875104090282007e-05,16.488611264756827,NN,NN,0,abandon,7,4.158429362604483,29.109005538231383,0.23287204430585107,3
abandoned,11,9,1.708944928472887e-05,15.836534568177134,VBN,VB,0,abandon,10,3.643856189774725,36.43856189774725,0.30856064901428903,3
