term_str,fear_structural,fear_conflict,fear_affective,fear_breakdown
a,0,0,0,0
abandon,0,0,1,1
abandonment,0,0,1,1
abate,0,0,1,0
abatement,0,0,0,0
abdicate,0,0,1,0
abhor,0,1,1,0
abide,0,0,0,0
ability,0,1,0,0
abject,0,0,1,0
able,0,1,0,0
abnormal,0,0,2,0
aboard,0,0,0,0
abolish,2,2,1,0
abolition,0,0,0,0
abominable,0,1,1,0
abortive,1,0,0,0
abound,0,0,0,0
about#1,0,0,0,0
about#2,0,0,0,0
about#3,0,0,0,0
about#4,0,0,0,0
about#5,0,0,0,0
about#6,0,0,0,0
about#7,0,0,0,0
above#1,0,0,0,0
above#2,0,0,0,0
above#3,0,0,0,0
above#4,0,0,0,0
abrasive,0,2,1,0
abroad,0,0,0,0
abrupt,2,0,1,0
abscond,0,1,1,0
absence,0,0,1,1
absent#1,0,0,1,1
absent#2,0,0,0,0
absent-minded,0,0,1,1
absentee,0,1,1,1
absolute#1,0,1,0,0
absolute#2,0,1,0,0
absolve,0,0,0,0
absorb#1,0,0,0,0
absorb#2,0,0,0,0
absorbent,0,0,0,0
absorption,0,0,0,0
abstain,0,0,0,0
abstract,0,0,0,0
abstraction,0,0,0,0
absurd,0,0,1,0
absurdity,0,0,1,0
abundance,0,1,0,0
abundant,0,1,0,0
abuse#1,0,1,1,0
abuse#2,0,2,1,0
abyss,0,0,1,0
abyssinia,0,0,0,0
academic,0,0,0,0
academy,0,0,0,0
accede,1,0,0,0
accelerate,0,1,0,0
acceleration,0,1,0,0
accentuate,0,0,0,0
accept,0,0,0,0
acceptable,0,0,0,0
acceptance,0,0,0,0
access,0,0,0,0
accessible,0,0,0,0
accession,0,1,0,0
accident,0,0,1,0
accidental,0,0,0,0
acclaim,0,0,0,0
acclamation,0,0,0,0
accolade,0,0,0,0
accommodate,1,0,0,0
accommodation,1,0,0,0
accompaniment,0,0,0,0
accompany#1,0,0,0,0
accompany#2,0,0,0,0
accomplish,1,1,0,0
accomplishment,1,1,0,0
accord#1,0,0,0,0
accord#2,0,0,0,0
accord#3,1,0,0,0
accord#4,0,0,0,0
accord#5,1,0,0,0
accordance,1,0,0,0
accost,0,1,1,0
account#1,0,0,0,0
account#2,0,0,0,0
account#3,0,0,0,0
account#4,0,0,0,0
account#5,0,0,0,0
account#6,0,0,0,0
account#7,0,0,0,0
account#8,0,0,0,0
accountable,0,0,0,0
accrue,0,0,0,0
accumulate,0,0,0,0
accumulation,0,0,0,0
accuracy,0,0,0,0
accurate,0,0,0,0
accurateness,0,0,0,0
accursed,0,1,1,0
accusation,0,1,1,0
accuse#1,0,1,1,0
accuse#2,0,1,1,0
accustom#1,0,0,0,0
accustom#2,0,0,0,0
ache,0,0,1,1
achieve,0,1,0,0
achievement,1,0,0,0
acknowledge,0,0,0,0
acknowledgement,0,0,0,0
acknowledgment,0,0,0,0
acquaint,0,0,0,0
acquaintance,0,0,0,0
acquire#1,0,1,0,0
acquire#2,0,1,0,0
acquisition,0,1,0,0
acquit,0,0,0,0
acquittal,0,0,0,0
acre,0,0,0,0
acrimonious,0,1,1,0
acrimony,0,1,1,0
across#1,0,0,0,0
across#2,0,0,0,0
across#3,0,0,0,0
across#4,0,0,0,0
across#5,0,0,0,0
act#1,0,1,0,0
act#2,0,1,0,0
act#3,1,1,0,0
act#4,0,1,0,0
action,0,1,0,0
active#1,0,1,0,0
active#2,0,0,0,0
activity,0,0,0,0
actor,1,0,0,0
actual#1,0,0,0,0
actual#2,0,0,0,0
actuality,0,0,0,0
acute,0,0,0,0
adamant,0,1,0,0
adapt,0,1,0,0
adaptability,0,1,0,0
adaptable,0,1,0,0
adaptation,0,1,0,0
adaptive,0,1,0,0
add#1,0,1,0,0
add#2,0,0,0,0
addict,0,0,1,0
addiction,0,0,1,0
addition#1,0,0,0,0
addition#2,0,1,0,0
additional,0,1,0,0
address#1,0,0,0,0
address#2,0,0,0,0
address#3,0,0,0,0
aden,0,0,0,0
adept,0,1,0,0
adeptness,0,1,0,0
adequate,0,0,0,0
adhere,0,0,0,0
adherence,0,0,0,0
adherent,0,0,0,0
adhesion,0,0,0,0
adhesive,0,0,0,0
adjacent,0,0,0,0
adjoin,0,0,0,0
adjournment,1,0,0,0
adjudication,3,0,0,0
adjunct,0,0,0,0
adjust#1,0,1,0,0
adjust#2,0,0,0,0
adjustable,0,0,0,0
adjustment,0,0,0,0
administer,2,1,0,0
administration#1,2,1,0,0
administration#2,2,1,0,0
administrative,2,1,0,0
administrator,2,1,0,0
admirable,0,0,0,0
admiral#1,0,0,0,0
admiral#2,0,0,0,0
admiration,0,1,0,0
admire,0,0,0,0
admirer,0,1,0,0
admissible,1,0,0,0
admission,0,0,0,0
admit#1,0,0,0,0
admit#2,2,0,0,0
admit#3,0,0,0,0
admittance,0,0,0,0
admonish,1,2,1,0
admonition,0,0,1,0
adolescent,0,0,0,0
adopt#1,1,0,0,0
adopt#2,1,0,0,0
adoption,1,0,0,0
adorable,0,0,0,0
adore,0,0,0,0
adorn,0,1,0,0
adornment,0,0,0,0
adroit,0,1,0,0
adroitly,0,1,0,0
adulation,0,1,0,0
adult#1,0,1,0,0
adult#2,0,1,0,0
adulterate,0,0,1,0
adulteration,0,0,1,0
adultery,0,0,1,0
advance#1,0,1,0,0
advance#2,0,1,0,0
advance#3,0,0,0,0
advance#4,0,0,0,0
advancement,0,0,0,0
advantage,0,1,0,0
advantageous,0,1,0,0
advent,0,0,0,0
adventure,0,0,0,0
adventuresome,0,1,0,0
adventurous,0,1,0,0
adversary,2,1,1,0
adverse,0,0,2,0
adversity,0,0,1,0
advice,0,0,0,0
advisable,0,0,0,0
advise,0,0,0,0
adviser,1,0,0,0
advisor,1,0,0,0
advisory,0,0,0,0
advocacy,0,0,0,0
advocate#1,1,1,0,0
advocate#2,1,1,0,0
aesthetic,0,0,0,0
affability,0,0,0,0
affable,0,0,0,0
affair#1,0,0,0,0
affair#2,0,0,0,0
affair#3,0,0,0,0
affect,0,0,0,0
affectation,0,0,1,0
affection,0,0,0,0
affectionate,0,0,0,0
affiliate,1,0,0,0
affiliation,0,0,0,0
affinity,0,1,0,0
affirm,1,1,0,0
affirmance,0,0,0,0
affirmation,0,0,0,0
affirmative,0,0,0,0
affix,0,0,0,0
afflict,0,2,1,0
affliction,0,0,1,0
affluence,0,0,0,0
affluent,0,0,0,0
afford#1,0,1,0,0
afford#2,1,1,0,0
afghanistan,0,0,0,0
afloat,0,1,0,0
afraid#1,0,0,0,1
afraid#2,0,0,1,0
africa,1,0,0,0
african,1,0,0,0
after#1,0,0,0,0
after#2,0,0,0,0
after#3,0,0,0,0
afternoon,0,0,0,0
afterward,0,0,0,0
again#1,0,0,0,0
again#2,0,0,0,0
again#3,0,0,0,0
against,0,0,2,0
age#1,0,0,0,0
age#2,0,0,0,0
age#3,0,0,0,0
age#4,0,0,0,0
agency,2,0,0,0
agent,1,0,0,0
aggravate,2,2,1,0
aggravation,2,2,1,0
aggregate,0,0,0,0
aggregation,0,0,0,0
aggression,2,2,1,0
aggressive,2,2,1,0
aggressiveness,2,2,1,0
aggressor,2,1,1,0
aggrieve,0,1,1,0
aghast,0,0,1,0
agile,0,1,0,0
agility,0,1,0,0
agitate,2,1,1,0
agitation,2,1,1,0
agitator,0,1,1,0
ago,0,0,0,0
agonize,0,0,1,1
agony,0,0,2,1
agrarian,0,0,0,0
agree#1,1,0,0,0
agree#2,1,0,0,0
agreeable,1,0,0,0
agreement,1,1,0,0
agricultural,0,0,0,0
agriculture,0,0,0,0
ahead,0,0,0,0
aid#1,1,1,0,0
aid#2,0,0,0,0
aid#3,0,0,0,0
aide,1,0,0,0
ail,0,0,1,1
ailment,0,0,1,1
aim#1,0,0,0,0
aim#2,0,0,0,0
aimless,0,0,1,2
ain't,0,0,0,0
air#1,0,0,0,0
air#2,1,0,0,0
air#3,0,0,0,0
air#4,0,1,0,0
air#5,0,0,0,0
air#6,0,0,0,0
air#7,0,0,0,0
aircraft,0,0,0,0
airplane,0,0,0,0
airport,0,0,0,0
akin,0,0,0,0
alabama,0,0,0,0
alarm#1,0,0,1,0
alarm#2,0,0,2,0
alarming,0,0,1,0
alas,0,0,1,0
alaska,0,0,0,0
albania,0,0,0,0
album,0,0,0,0
alcoholic,0,0,0,0
alert,0,1,0,0
alertness,0,0,0,0
algeria,0,0,0,0
algiers,0,0,0,0
alibi,0,0,1,0
alien,0,0,1,0
alienate,0,1,1,0
alienation,0,0,1,0
alight,0,0,0,0
align#1,1,0,0,0
align#2,1,0,0,0
alike,0,0,0,0
alive,0,1,0,0
all#1,0,0,0,0
all#10,0,0,0,0
all#11,0,0,0,0
all#12,0,0,0,0
all#13,0,0,0,0
all#2,0,0,0,0
all#3,0,0,0,0
all#4,0,0,0,0
all#5,0,0,0,0
all#6,0,0,0,0
all#7,0,0,0,0
all#8,0,0,0,0
all#9,0,0,0,0
all#_10,0,0,0,0
all#_11,0,0,0,0
all#_12,0,0,0,0
all#_13,0,0,0,0
alledge,1,0,0,0
allegation,2,1,1,0
allege,0,0,1,0
allegiance,0,0,0,0
alleviate,0,0,0,0
alliance,2,1,0,0
allied,1,1,0,0
allies,0,0,0,0
allocation,0,0,0,0
allot,2,0,0,0
allotment,1,0,0,0
allow#1,2,0,0,0
allow#2,0,0,0,0
allowable,0,0,0,0
allowance,0,0,0,0
allure,0,0,0,0
allusion,0,0,0,0
ally#1,1,1,0,0
ally#2,1,0,0,0
almighty,1,1,0,0
almost,0,0,0,0
alone#1,0,0,0,0
alone#2,0,0,0,0
alone#3,0,0,0,0
along#1,0,0,0,0
along#2,1,0,0,0
along#3,1,0,0,0
along#4,0,0,0,0
alongside,0,0,0,0
aloof,0,0,1,0
aloud,0,0,0,0
already,0,0,0,0
alright,0,0,0,0
