term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
the,0.20789103,0.073307,-0.05688835,0.17046359,-0.32160714,-0.14682685,0.36668068,0.13233574,-0.12454337,-0.118886255,-0.0011390861,-0.15259318,-0.011229714,0.09489408,-0.20409551,0.15116961,0.089482605,0.12137374,-0.27291852,-0.41067398,0.2107077,0.24654222,0.3942313,-0.07165647,0.26747492,0.21177888,0.050834276,0.05340279,-0.22651605,0.09595321,0.036690038,-0.18409488,0.42853376,-0.17713892,-0.13429739,0.015395127,0.07491585,0.039100982,-0.10578628,-0.19299741,-0.1384891,0.37865597,-0.4754902,-0.03854883,-0.34550244,-0.2219691,-0.12261841,0.24200033,0.032125097,-0.20584582,-0.28145775,0.17469701,-0.102953725,0.008656178,0.05148291,-0.28031996,0.067465246,-0.16190153,0.2069477,0.35651264,0.033286806,-0.05903314,-0.017723866,-0.35138237,-0.12170069,0.17665587,-0.08705856,0.053146828,-0.10565686,0.16890506,-0.01052762,0.43928608,-0.23000306,-0.11086521,0.08725978,-0.0228357,0.23589745,-0.04497501,-0.081115074,-0.29847103,0.017814832,0.2500388,0.40159887,-0.047216233,-0.2421653,0.06329081,0.11099599,-0.319851,-0.23825358,0.12711456,-0.008233615,0.12712784,-0.054936066,-0.029073354,0.24138898,0.31372797,-0.14315669,-0.12226127,0.0727235,0.15847166,-0.017670317,0.08066047,-0.058969192,0.17716958,0.2462836,-0.07610376,0.27597564,0.27203774,0.00062357297,-0.220331,0.19800217,-0.29316583,-0.29486626,0.34820327,-0.08697579,0.09285685,0.26280913,-0.023132347,-0.14555939,0.008264678,-0.106908485,-0.21294951,0.32758212,-0.24197747,0.010158052,0.23151813,-0.24594165,0.2464006,-0.03720163,0.33743212,0.065533444,-0.18183617,-0.055291288,-0.28152242,0.18334113,0.37672386,0.39815196,-0.032002006,-0.04121904,-0.13381526,0.31463623,-0.39624506,-0.026596084,0.094345935,0.22032002,0.29309547,0.1183436,0.17158698,0.029471284,0.32727858,0.31039193,-0.07250307,0.1329514,0.32131904,-0.5471536,0.4727332,0.83052665,0.9050142,0.28480697,0.21540287,0.24078584,0.34460095,0.011439026,0.08265931,0.033294637,0.40681633,0.3511907,0.17472322,0.0765575,-0.0726193,-0.070186675,0.0036329338,0.35082808,0.34193665,0.098834604,0.27456173,-0.5451305,0.2616664,-0.17564085,-0.11782081,-0.4940823,0.32589903,0.35804352,-0.18675353,0.5100422,-0.045284383,0.1890939,-0.27465343,0.36139825,-0.16206978,0.41864246,0.12577382,-0.2650772,-0.3218725,-0.17330547,0.27829498,0.18247032,-0.14293431,-0.30907497,0.27155742
and,0.1461972,0.018179685,-0.16409086,0.10480585,0.037718963,0.10076176,-0.011080348,0.19905838,-0.016731294,0.035297643,-0.048296344,-0.12965217,0.10753581,-0.13076025,0.06887361,0.055128254,0.20819116,0.013507112,-0.07214524,-0.13192919,0.13952394,0.019599905,0.0021602206,0.101605475,-0.032873094,0.054640535,-0.040423296,-0.074405834,-0.0606842,-0.08769797,-0.07870334,-0.040166482,-0.006775351,-0.22982216,-0.046045467,-0.06270308,-0.07544722,-0.010241384,0.013363964,0.07867422,0.007978098,-0.12785393,-0.05173525,-0.0089185815,-0.04076511,-0.11972243,-0.14880468,-0.20474775,-0.10926793,-0.0074638496,-0.16176127,-0.18091823,-0.14888752,-0.07207817,0.07185351,-0.1553807,-0.051248673,-0.31385008,0.2420002,-0.22554429,0.028707149,-0.04676829,0.34736726,-0.1421405,-0.1226912,0.20002703,-0.024791155,0.009431937,-0.14049986,0.10857126,0.0030176237,0.19908212,0.0010278968,-0.11263423,-0.11596147,0.06694246,0.1755304,0.11515644,-0.119788826,-0.24741703,-0.11614343,0.01329976,-0.038693126,0.067805186,-0.10211298,0.0024456542,0.18199418,-0.12238846,0.06094354,0.23426425,-0.023592537,-0.020631675,0.31339607,0.007968128,0.1881605,0.1028159,0.07765303,-0.05933915,0.27147537,-0.08905435,-0.19636434,0.06501735,0.09778757,-0.003035767,-0.26080254,-0.53660196,0.042552527,0.23988107,-0.06619581,-0.37861654,0.10243869,-0.018252354,0.03664018,-0.03524952,0.043763943,0.05419453,0.13330534,-0.34805882,-0.020806821,-0.18007426,-0.08862213,-0.06022924,0.23997667,-0.052150328,-0.14043699,0.15472327,-0.17486906,0.04362608,-0.16226003,0.32784864,-0.04517315,-0.073693,0.04709645,-0.079782285,-0.06900779,0.51374525,0.050152633,-0.20294173,-0.24136016,-0.10366329,0.1747319,-0.1868777,0.03563064,0.022021448,0.25553206,0.12721294,-0.06226983,0.043442007,-0.03364213,-0.13107285,0.103567354,0.2510455,-0.12328345,-0.15467693,-0.06960824,0.060744233,0.32833216,0.2305711,0.27851835,-0.13106647,0.14441757,-0.0069132065,-0.048270795,0.16523132,0.013543829,0.3524857,0.07294977,0.12264429,0.011489647,-0.06908119,0.0058019576,0.07881562,0.10817544,0.24928294,-0.08946302,0.112824194,-0.20684493,-0.05983503,-0.082662575,0.01691382,-0.056658134,0.10437085,0.25391716,0.2365511,0.13663618,-0.005525342,0.29290605,-0.09909472,0.28030455,0.029614257,0.08799539,0.071126975,-0.34534946,-0.02247607,0.01855113,0.16808528,-0.0027287921,-0.14435434,-0.1101207,0.027187731
to,-0.30516538,0.2099334,-0.1543494,0.006133986,-0.00873358,0.12856694,0.35934725,0.23017,-0.22410563,0.004574381,-0.0071807727,-0.08419518,0.03985106,-0.09488397,-0.06793992,0.026176024,-0.07660385,-0.09263578,0.16559224,0.14682215,0.092473425,-0.20902707,0.22311972,0.15954079,0.05450825,0.14653681,-0.22372405,-0.333631,0.10869824,0.10832243,-0.07036502,0.04915551,-0.25604078,0.03851917,0.35267544,-0.17390853,-0.17318213,-0.011590103,0.2552389,-0.13439731,-0.07227846,-0.3649849,-0.0870402,0.3034504,0.120365664,-0.32740292,0.12958914,-0.03255332,0.05122087,-0.47151414,-0.037546106,0.051702086,0.077350184,-0.04501903,0.07852873,-0.040381704,-0.11221172,-0.18919398,0.11884871,-0.31969875,0.021146558,-0.028726717,0.056254975,0.1554805,-0.27073407,0.2567392,0.3990349,0.44929338,-0.16162236,0.6299894,0.071749955,0.15013199,0.53461015,-0.029539833,-0.01739104,0.18970852,0.3089875,0.06984833,-0.21669652,-0.42944252,-0.10984027,-0.23496863,-0.020390073,0.017830865,-0.2975901,-0.36812857,0.28187504,0.07311717,-0.3385077,-0.009730756,0.05484181,-0.1575536,0.24572706,0.09507466,0.45781592,-0.08799154,0.2883286,0.06086576,0.42988667,-0.061137937,-0.2285486,0.2679699,-0.04420922,-0.33908463,-0.3919681,-0.34065467,-0.10842982,-0.06249382,0.05711901,-0.3347936,0.13906899,-0.07978349,-0.032830466,-0.26512927,0.22705697,-0.078979574,0.12445432,-0.5778842,0.06337741,-0.3416225,-0.16280408,0.34831664,0.1841143,0.075856425,-0.71965307,0.12221251,0.03377098,-0.271053,0.107173584,0.2806151,-0.05724837,-0.09315181,-0.31223282,-0.06445734,-0.4013372,0.7842749,0.2927792,-0.060402703,-0.07423023,-0.12969936,0.5001497,-0.33893153,-0.0042218473,-0.19173172,0.13062708,0.24463975,-0.21625766,0.46070537,0.11145342,-0.37954602,-0.029505858,0.05699371,-0.0019434814,0.23981772,-0.22511132,-0.09193902,-0.09503602,-0.2116253,-0.12557676,-0.29081395,0.321955,-0.08577333,0.1625249,-0.18068312,0.147257,0.07112183,-0.2282114,0.05835538,-0.41748476,-0.32257676,0.11028776,0.29094452,-0.10196535,0.0630562,-0.15529469,0.34076184,-0.23973103,0.048763596,-0.46111703,-0.11884652,0.058714703,-0.491574,-0.06889428,0.3219479,-0.10017433,-0.2082421,-0.21642312,0.03416168,-0.080244586,0.12892005,0.032211225,0.30399495,-0.27941096,-0.012514252,0.07975952,0.19751108,-0.12829477,0.19988805,0.11896015,-0.31271863
of,0.13884638,0.082657486,-0.2415869,0.32258806,0.04323153,0.16965646,0.15245779,-0.1304896,0.078777075,-0.41450092,0.22758342,-0.2073851,0.32031545,-0.07563686,-0.1091758,0.46000484,0.17546178,0.007034849,0.17549454,-0.17595404,0.20214136,-0.12620392,0.057158552,-0.20743267,-0.34114444,0.42681152,0.17975357,-0.14310557,-0.030130232,-0.018338067,-0.012980627,0.05784435,-0.04048334,0.099039644,0.031435095,0.2035406,0.1773841,0.24726054,-0.14965163,0.15618193,0.33388147,-0.11386814,-0.006504676,-0.05817375,0.076594785,0.4200094,-0.1294178,-0.14327784,-0.14271282,0.031767257,-0.23665263,0.08694705,-0.35186303,-0.01698992,-0.047441956,-0.30256832,-0.03139672,-0.40903154,-0.09859329,-0.40018737,-0.02150485,0.0915861,0.23756099,-0.1068801,-0.272599,0.104828194,-0.3565034,0.10163455,-0.19546063,0.10658162,-0.19456732,0.18365401,-0.14619012,0.08095767,0.49817553,-0.105985954,0.27877444,0.24118082,-0.046136957,-0.06947656,0.022694172,-0.029487344,-0.05612346,-0.16319244,-0.03865401,0.010584564,0.24812111,0.12961729,-0.29893896,0.0026718925,-0.115042,0.20269695,-0.020631969,0.19953121,0.13672884,0.051695775,0.07761373,-0.15130049,-0.049179807,-0.017382655,0.12678866,0.23650047,0.25517297,0.44790018,-0.16251642,-0.123517886,0.2153895,0.04266214,-0.12911178,0.013988914,-0.03177183,-0.5626022,0.47851393,0.015553981,-0.09727749,-0.3903784,0.32950193,-0.6237256,-0.12646787,-0.41245183,-0.15282212,0.3583245,-0.08402047,-0.49174932,-0.5033984,0.51464975,-0.19875957,0.18240649,0.13404441,0.22045125,-0.015608437,-0.1017379,-0.0056089144,-0.38490897,-0.14265075,0.6338706,0.3487322,-0.08779763,-0.27520603,-0.22563757,0.16499457,-0.07234431,-0.08112163,0.2813259,0.23772454,0.1263538,-0.31786355,0.21599902,0.08229788,-0.018168185,-0.07607855,0.10733484,0.59234995,-0.15219197,-0.47884157,0.4793434,0.28481737,0.4956476,0.309314,0.085186936,0.046662398,-0.0029368228,-0.03319356,0.23220736,-0.12231102,0.16569184,-0.6281187,0.70802623,-0.2862667,-0.13499507,-0.13822463,0.10304917,0.2965095,-0.07806922,-0.04103254,-0.0038207439,-0.06476845,0.15775524,-0.51997334,-0.052632265,-0.26158974,0.118403435,-0.050024174,0.16721569,0.450726,0.018900063,-0.05758107,-0.18378493,0.22290878,0.009168708,0.20663765,-0.042974412,-0.1980536,0.3094953,-0.07651447,-0.05115829,-0.27888086,0.34220704,0.01309906,-0.04505745
i,-0.35011685,-0.31676534,-0.019811716,-0.07238201,0.46948472,-0.27670014,0.18281104,0.57464486,-0.0007700013,0.28021768,0.032243922,-0.4151538,-0.07626353,0.28427863,0.024738707,-0.27996713,-0.106359854,0.13093525,0.041207932,0.1915971,0.45689273,-0.02551059,0.38719591,-0.06991538,0.24397275,-0.2776467,-0.2954592,-0.2964953,-0.13212815,-0.47665086,0.6496389,-0.18785277,0.4872796,0.24157986,0.17023963,0.008251308,-0.3739544,0.18779153,0.1411245,-0.61695534,-0.20674965,0.073983364,-0.28173468,0.120339096,-0.18393618,-0.5468295,0.38747025,-0.24707869,0.11127674,0.2974274,0.21543059,-0.33356282,-0.014730739,-0.4370486,0.61562955,0.21721484,-0.03555975,-0.2897505,0.16344467,-0.51577187,-0.2501778,-0.34663627,0.40612674,-0.09557846,-0.89140993,0.40143555,-0.08027537,0.68116117,-0.5973242,0.85085416,0.1446723,0.14379542,0.95480835,0.5392258,0.060370535,0.06360019,0.15110537,-0.4054919,-0.797758,0.04286238,-0.41333282,-0.252806,-0.07413421,0.32677975,-0.16181557,-0.23909588,0.21194984,-0.25288677,-0.20664816,0.3385124,-0.09989469,-0.40442696,0.4401701,-0.15885888,0.3228441,0.29328936,0.4842031,0.4177857,0.24270774,-0.14482525,-0.35085878,-0.060804743,-0.38343439,0.07772214,-0.45295143,-0.4901965,-0.75216234,0.2727193,-0.07838422,-0.5455337,0.3671204,0.22042923,-0.3660611,-0.13071162,0.007735323,0.3363154,0.4038321,-0.45156926,0.269747,-0.105478294,0.18491112,-0.25777435,0.112627864,-0.049944658,0.60748106,-0.21106201,-0.3664815,0.14346676,0.31237346,7.162481e-05,-0.3373929,0.015837513,0.23859654,0.26162198,-0.028401027,0.32978615,-0.19003543,-0.16136338,-0.14354469,-0.39589754,0.41177136,-0.021377724,-0.22357464,-0.011021258,-0.06384731,-0.3647699,-0.167145,0.13545406,0.23109657,0.35109863,0.111355714,0.3928503,-0.51469254,0.43814847,0.24995674,-0.76302046,-0.1107329,-0.27670237,0.03471395,-0.20893279,0.17829569,0.44099492,0.46065676,-0.06423295,-0.28542593,-0.014805208,0.040617228,-0.66524726,0.048770804,-0.18216087,-0.11053219,0.18050312,-0.26569575,-0.4502488,-0.2063599,-0.33068737,-0.12535298,-0.16175091,-0.007225616,-0.026265508,0.18030113,-0.11485118,-0.14543977,0.070867576,-0.07052126,-0.4014696,-0.32296288,0.15112083,-0.074752875,0.20608562,-0.5590315,0.22995652,8.251781e-05,-0.080256656,0.17150888,-0.0021434,-0.43370458,0.2268253,0.10548753,0.25575826
a,0.29648927,0.03606152,0.022577144,-0.074974716,0.001707854,-0.13364756,-0.17953506,0.18957447,-0.17100728,-0.22909208,0.21631981,-0.22994971,0.4291322,0.07537826,0.03249439,0.23659065,-0.07226266,0.052663367,0.32202289,-0.36153767,0.05657954,0.011536179,0.21479233,-0.033007253,-0.12805152,0.2054377,0.16445431,0.0509763,-0.0063248673,-0.008391356,0.061528042,-0.011136124,0.23226187,-0.021400444,0.33990994,0.24086379,-0.22564046,0.21304066,-0.106302984,0.10732698,0.042886253,0.047681108,-0.16434884,0.3359855,-0.4627468,-0.1414443,-0.039166152,0.2130334,-0.36799395,-0.20215814,-0.21628667,0.13906346,-0.32154095,0.030913487,-0.30604264,0.12029401,-0.18152063,0.03854092,0.32550156,0.37459302,-0.16636857,-0.035207756,0.13099271,0.16883482,-0.13650781,0.32579723,-0.09090672,-0.08259261,-0.17131802,0.48291194,0.28785118,0.49282452,-0.31151828,0.09047055,0.20069945,0.21736495,0.14294255,-0.23175731,0.1984516,0.07093678,-0.0016630925,0.24657425,-0.0594825,-0.085785545,-0.34022862,0.11216337,0.17127989,-0.021803474,0.1710214,0.22799535,-0.04078804,0.46972916,0.24324653,0.31479782,0.13680771,0.5325435,0.11211075,0.02851212,0.10424837,0.1138963,0.10604667,0.14156836,0.26302692,0.14132485,-0.32551488,-0.06582328,0.14148119,0.16252652,-0.061021496,-0.1773531,0.2143984,-0.29021737,0.100139685,0.2946874,-0.14279394,0.12146808,-0.09646629,0.0039642113,0.021752145,0.21318497,-0.17761087,-0.23003498,0.17522527,-0.2169638,-0.12765257,-0.079601586,-0.20203261,0.14080617,0.01784579,0.32214564,0.07792278,-0.05827224,0.070268035,-0.30566195,0.2491267,0.13312863,0.016708555,0.2736722,-0.4253827,0.09101383,0.21860167,0.17032267,-0.20862366,0.30440152,-0.017711535,-0.20521568,0.06597753,0.4552074,-0.17748664,0.06405713,0.39850724,-0.10467086,0.2559132,0.09475729,-0.49891147,0.26412565,0.37041283,0.5973391,0.22205162,-0.021344954,0.034576837,0.40179265,0.0666,0.049202345,-0.23123251,0.29251593,0.39522055,0.6554929,-0.1502076,0.028447514,-0.110756196,0.28478754,0.15861428,0.18813814,0.11357976,0.6001709,-0.4181376,0.56759346,-0.51776373,-0.09571939,-0.54906934,0.18049088,0.34816933,-0.23318435,0.4151169,0.10882886,0.10828351,-0.1341408,0.55573463,-0.020556262,0.47409156,0.044781365,-0.6371168,-0.22840425,-0.2705436,0.21357514,0.2063123,-0.012913172,-0.0760395,0.058323894
he,0.2567141,-0.5002042,-0.07270751,-0.40397373,0.32583505,-0.43018287,-0.12681021,0.5923382,0.07987149,0.053887863,0.018547133,0.047396004,-0.3657016,0.07226723,-0.15419818,-0.42302224,0.3232738,-0.10896815,0.32232657,0.08403741,0.19559921,-0.04057684,-0.0105654085,0.43464693,0.3210961,-0.04846932,-0.3138377,0.051318303,0.081500396,-0.14011279,0.09968608,0.15572178,0.05173578,-0.02204781,-0.09484418,-0.19470118,-0.64624846,-0.065814696,0.06099987,-0.22387539,-0.108450584,0.054083686,-0.12142844,-0.044102516,-0.3898408,-0.5145934,0.13179627,-0.16324101,-0.019795667,0.38649923,0.20407887,-0.45824197,-0.3469988,-0.3534329,0.63052106,0.06297581,-0.17955503,-0.124500684,-0.038195938,-0.12010065,-0.5054708,-0.5928076,0.2900619,0.13940541,-0.70144004,0.5197437,0.17367034,0.5125604,-0.5180422,0.39131126,0.33984163,0.47535184,0.44762093,0.14835669,0.18722506,0.061180145,0.029749664,-0.038017023,-0.2686901,0.37372684,-0.41053027,0.3217799,-0.16409473,0.111136235,-0.20696989,-0.31398857,0.35158652,-0.14702101,-0.036753546,0.17025323,-0.06186377,-0.20076588,0.18689,0.09177988,0.033553936,0.24307829,0.117971964,0.39808136,0.085484035,0.21415704,-0.16102234,-0.0211196,-0.042315684,-0.19641161,-0.44332692,-0.0902299,-0.6636277,0.033764202,-0.0696584,-0.27428275,0.07087074,0.36869815,-0.41182092,-0.27511334,0.054484073,0.5001363,0.34582198,0.011242827,0.07116089,0.014156282,0.3378768,-0.123529136,0.6242239,-0.20610306,0.4889955,0.07229825,-0.38946956,-0.027428322,0.062568106,0.23647147,-0.3244744,0.056653406,0.33692324,-0.15431625,0.16926438,0.08354477,-0.5054888,0.07483989,-0.21408626,-0.22640643,0.22076146,-0.05341131,0.13046004,0.27783054,0.19336219,-0.5681254,-0.33065644,-0.26322696,0.27118176,0.2602162,0.07242365,0.119256034,-0.61966145,0.14720215,0.19577476,-0.0878375,0.38514334,-0.10549895,0.18024388,-0.3677493,0.3581745,0.42116046,0.10894239,0.22880642,-0.1488212,0.13877007,0.35118872,-0.16529244,0.43620402,0.08161533,-0.029601937,-0.21514969,-0.27764878,0.024761437,-0.03147951,0.119187854,0.21172372,0.00831813,-0.044648655,0.01424457,-0.02308542,-0.06768119,-0.17623873,0.21914546,-0.10119611,0.10124856,0.08152055,0.093018554,-0.15585646,0.19850707,-0.15414895,-0.06313198,-0.12730236,-0.20713668,-0.15934867,0.17619914,0.09559089,-0.06462118,0.018362263,0.122136004
in,0.0971503,0.07675102,-0.026927318,0.1357509,-0.03551699,0.07366509,0.16371119,-0.02742849,0.09996744,-0.19786558,0.15258567,-0.17982697,-0.10941061,-0.17500365,0.01700238,0.27248475,0.020589182,-0.083783746,0.128041,-0.15506852,0.31617293,0.08122865,0.20859143,0.24417798,-0.11688399,0.4198672,0.18898207,-0.12985212,0.013882633,-0.03316382,-0.20947808,0.06756005,0.089002244,-0.21338019,0.16906746,-0.04201243,0.1629281,0.009796203,-0.16103783,0.15524141,0.14193515,-0.015702054,-0.06525718,0.031955007,0.08209704,0.055276353,-0.10098991,-0.061509326,-0.014546718,-0.032431707,-0.10892527,0.10788048,-0.17025417,-0.06275617,0.048126478,-0.28626782,0.10357128,-0.32412782,0.11426732,-0.18459336,-0.22261354,0.16902058,0.077217594,-0.10311538,-0.23428404,0.13241519,-0.23065817,0.086466774,-0.12070265,0.16380855,-0.3329859,0.18706945,0.03964915,0.14549476,0.31579834,-0.124338716,0.28334287,0.09297078,-0.03680083,-0.23252198,0.035325393,0.01787144,0.32806253,-0.3435006,-0.035370808,-0.074182,0.14904298,-0.060731024,-0.26405445,-0.011785782,-0.067744866,-0.096835665,-0.032611277,0.041103087,0.1780189,0.16086376,0.21245024,0.053466715,-0.076938994,-0.1471656,-0.051144756,0.15668719,0.106494404,0.15913132,-0.13363774,-0.38955328,0.007963581,0.19494818,-0.06807358,-0.1770773,0.122478865,-0.2561932,-0.03841457,0.08645893,0.042995326,-0.20709537,0.32482472,-0.44634405,-0.11858287,-0.3645964,-0.16567978,0.07858202,0.09042277,-0.4523484,-0.1801596,0.5322746,-0.05818799,0.10933098,0.15251032,0.2860586,-0.13994606,-0.04555503,-0.122584864,-0.23604901,-0.28097823,0.6247068,0.44025818,-0.17481767,-0.2040819,-0.277803,0.2694697,-0.19612725,0.12123168,0.17478877,0.31399435,0.14368123,-0.085685335,0.07917951,0.17170608,-0.28359687,0.02643273,0.38926572,0.34101892,0.24415144,-0.41135627,0.034765273,0.26895213,0.17591934,0.3420793,-0.0016239131,0.462558,0.10815177,-0.04195727,0.23744819,0.1026084,0.20475717,-0.27407157,0.4219907,-0.11182416,0.04251691,-0.11439649,0.12008169,0.20719817,0.17439088,0.008181062,0.45668218,-0.26079112,0.012960288,-0.4471152,-0.1433893,-0.07601083,0.0052939323,-0.026825614,0.009391553,0.3183792,-0.06335613,0.10703948,0.006601758,0.317288,0.32946312,0.25239956,0.07227864,-0.241862,-0.109006785,-0.082036264,0.09006741,-0.0985332,0.25707713,0.124190986,0.079534896
that,0.15135314,-0.14456256,0.06883365,-0.101221465,0.3565207,-0.011814525,0.08783669,0.3396539,0.10739109,-0.08274408,-0.33637312,-0.3387168,-0.060036015,0.18073165,0.05169817,0.028750826,-0.2646971,0.33167887,0.31607735,-0.35918376,0.51254123,-0.11537928,0.05741457,0.1745804,-0.2010117,0.12510572,0.19003485,-0.015427338,-0.13437995,-0.14854264,0.4464498,-0.053246453,0.4002844,-0.14299054,0.1152861,0.12224525,0.12230414,-0.02534436,-0.051716868,-0.28504995,0.17386003,-0.028164651,-0.28272197,0.19789457,-0.15399666,0.08534001,0.16631027,-0.12536767,-0.057171904,0.05138087,-0.05757139,0.024545865,0.1328078,-0.17743035,0.24177384,0.16829827,-0.17529197,-0.23357265,-0.10868304,0.025744833,-0.27734044,-0.036660336,0.17226316,-0.14426464,-0.070439376,-0.13729516,-0.11771635,0.1977211,-0.22361128,0.42773005,-0.2272306,0.19419315,-0.18539497,0.027225895,0.22443627,-0.11371046,0.07159144,-0.054977473,-0.07437602,-0.05844478,-0.2762844,-0.057969056,-0.24349909,0.23980017,-0.16750813,0.07777805,0.42592803,-0.08278664,0.13863519,0.09936156,0.05706755,0.08122136,0.12854882,0.23789588,0.13847207,0.20084132,-0.089405656,0.07710086,-0.023278574,-0.07868384,-0.11872069,-0.10374505,0.031525057,-0.18342474,-0.14444457,-0.119717605,0.070194796,0.11066798,0.051385105,-0.082533374,-0.07827731,-0.37751567,-0.37369177,0.28815708,-0.012398651,0.025082327,0.37261364,-0.45097208,0.10409072,-0.15947334,0.049761552,-0.037388135,-0.05394001,-0.25476262,0.1082279,0.1539915,-0.23213185,-0.1302826,0.18031035,0.008105898,-0.11773405,0.003280824,-0.29801258,-0.03659035,0.06530167,-0.07518565,0.08626678,0.40777618,0.07815281,-0.10079245,0.11598409,-0.09901766,0.14956662,0.057272166,-0.01708655,-0.097505756,-0.1837387,0.2954335,-0.016083244,0.25491053,0.19984958,0.31885707,0.39540526,0.15685648,-0.13337262,0.253759,-0.017938616,0.057159267,-0.06844056,0.004241858,0.03307491,0.12447454,0.0077051907,0.09091209,0.107160024,0.07171814,0.17154114,0.25046578,0.2875573,-0.24019195,0.060309026,0.15179476,0.14551009,0.116236,0.001644309,0.32224223,0.0033763964,0.27170038,-0.20232892,-0.04674049,-0.07817403,0.1725432,0.31584737,-0.20642456,0.18727344,-0.07015343,0.19497515,0.19350979,0.1234568,0.11455238,0.2012958,-0.019441703,-0.22050042,-0.2891224,-0.16665037,0.18743989,-0.044458076,0.08014839,0.02977075,0.053166714
his,0.17791301,-0.15938286,-0.20506671,0.31043437,0.087036304,0.068312265,0.117981255,-0.09126411,-0.25395808,-0.45414993,0.105956815,-0.040182397,0.47560784,-0.0045887483,-0.09705578,0.17310606,0.14989091,0.12154059,0.3440851,0.39611116,0.19028434,0.20817459,0.32318664,-0.2425183,0.1224191,-0.019211901,-0.1760658,0.24770762,0.039786726,-0.035158537,0.09353628,-0.042981382,-0.14139883,0.005657537,-0.104679815,0.022649258,-0.44974238,0.18007725,0.28849185,-0.03670475,0.061966646,0.27272314,-0.15492558,-0.08411708,-0.5890325,-0.23866454,-0.05810297,0.11461869,0.075676054,-0.3058779,-0.1793853,-0.16188464,-0.019704456,-0.09753059,0.3214072,0.3113751,0.09895531,0.11969742,0.40931302,-0.17357637,0.18510334,0.023991676,0.25909734,-0.0035255966,-0.28687087,0.27877328,0.06801517,0.015782714,-0.16812973,0.3831341,0.3387145,0.06474355,-0.061724167,0.038910523,0.048290372,0.007064516,-0.049567565,0.38080525,-0.20693241,-0.0075115766,-0.11491192,0.25297603,-0.21235554,0.35604417,0.16743925,-0.14881122,0.3590733,0.14728467,0.04247836,0.14452487,0.23562062,-0.073515296,0.404454,0.14131442,0.034145266,0.36731702,-0.19478701,-0.11953508,0.25493044,-0.031351186,0.13940065,0.2196085,0.07924205,0.032068387,-0.28644967,-0.013059783,0.37398258,-0.024844086,0.37298068,-0.38704655,0.4554301,-0.17410484,0.3089336,0.26777312,0.08577659,-0.15130804,0.48534656,-0.57415414,-0.17862119,-0.07584374,-0.08610665,-0.0677758,0.18643215,-0.22470221,-0.31939858,-0.12895937,-0.642739,0.07715073,-0.06048697,0.3583211,-0.1554777,-0.2717395,-0.20382947,-0.40832037,-0.10420191,0.1227476,0.06950088,-0.104059294,-0.2078817,-0.029639179,0.0031802738,0.14677422,-0.070732184,0.38810027,0.11150222,0.059387386,-0.24878813,-0.032295737,0.2254385,0.53495216,0.032661006,-0.08227446,-0.20997122,-0.18921073,-0.22977969,0.6446982,0.81296605,0.77209747,0.23029116,-0.18387055,0.059988238,-0.0002981183,0.16365413,-0.10361801,-0.18682387,0.62489563,-0.09441753,0.2761733,-0.3620089,-0.31502533,-0.08259952,0.39349803,0.40543747,0.015262802,-0.36513624,0.08204209,-0.32627735,0.22833957,-0.49178857,-0.13941579,-0.77720183,0.37339336,0.5725177,0.44324887,0.68305254,0.024188425,0.0637122,0.019388838,0.5215794,-0.19355415,0.37328947,-0.007287661,-0.44836536,-0.09462248,-0.396353,0.48190352,0.26379138,0.3518031,-0.34480828,-0.09892193
